date,tic,close
2018-02-21,Durbl,-0.17
2018-02-22,Durbl,0.89
2018-02-23,Durbl,0.75
2018-02-26,Durbl,0.96
2018-02-27,Durbl,-2.04
2018-02-28,Durbl,-1.56
2018-03-01,Durbl,-2.24
2018-03-02,Durbl,-0.07
2018-03-05,Durbl,1.28
2018-03-06,Durbl,0.38
2018-03-07,Durbl,-0.27
2018-03-08,Durbl,0.17
2018-03-09,Durbl,0.95
2018-03-12,Durbl,0.55
2018-03-13,Durbl,-0.23
2018-03-14,Durbl,-1.12
2018-03-15,Durbl,-0.01
2018-03-16,Durbl,0.46
2018-03-19,Durbl,-1.79
2018-03-20,Durbl,-0.07
2018-03-21,Durbl,0.92
2018-03-22,Durbl,-3.07
2018-03-23,Durbl,-2.22
2018-03-26,Durbl,2.28
2018-03-27,Durbl,-2.61
2018-03-28,Durbl,-0.9
2018-03-29,Durbl,2.11
2018-04-02,Durbl,-2.6
2018-04-03,Durbl,2.53
2018-04-04,Durbl,2.32
2018-04-05,Durbl,1.54
2018-04-06,Durbl,-1.97
2018-04-09,Durbl,-0.6
2018-04-10,Durbl,2.63
2018-04-11,Durbl,-0.54
2018-04-12,Durbl,-0.2
2018-04-13,Durbl,-0.06
2018-04-16,Durbl,0.89
2018-04-17,Durbl,0.27
2018-04-18,Durbl,0.37
2018-04-19,Durbl,-1.31
2018-04-20,Durbl,-1.12
2018-04-23,Durbl,-0.14
2018-04-24,Durbl,-1.24
2018-04-25,Durbl,0.27
2018-04-26,Durbl,0.62
2018-04-27,Durbl,-0.27
2018-04-30,Durbl,-1.49
2018-05-01,Durbl,0.04
2018-05-02,Durbl,-0.38
2018-05-03,Durbl,-1.03
2018-05-04,Durbl,1.79
2018-05-07,Durbl,0.51
2018-05-08,Durbl,-0.02
2018-05-09,Durbl,0.14
2018-05-10,Durbl,0.88
2018-05-11,Durbl,-0.23
2018-05-14,Durbl,-0.41
2018-05-15,Durbl,-0.27
2018-05-16,Durbl,1.43
2018-05-17,Durbl,0.59
2018-05-18,Durbl,-0.48
2018-05-21,Durbl,1.32
2018-05-22,Durbl,-0.8
2018-05-23,Durbl,-0.42
2018-05-24,Durbl,-0.03
2018-05-25,Durbl,-0.3
2018-05-29,Durbl,-1.12
2018-05-30,Durbl,1.21
2018-05-31,Durbl,0.72
2018-06-01,Durbl,1.12
2018-06-04,Durbl,0.91
2018-06-05,Durbl,0.19
2018-06-06,Durbl,2.41
2018-06-07,Durbl,0.08
2018-06-08,Durbl,0.44
2018-06-11,Durbl,1.2
2018-06-12,Durbl,0.42
2018-06-13,Durbl,-0.42
2018-06-14,Durbl,0.14
2018-06-15,Durbl,0.13
2018-06-18,Durbl,0.66
2018-06-19,Durbl,-2.15
2018-06-20,Durbl,0.39
2018-06-21,Durbl,-2.04
2018-06-22,Durbl,-0.59
2018-06-25,Durbl,-1.15
2018-06-26,Durbl,0.8
2018-06-27,Durbl,-0.76
2018-06-28,Durbl,-0.09
2018-06-29,Durbl,-0.95
2018-07-02,Durbl,-0.24
