date,emerging_equity,fixed_income_balanced,min_vol,momentum,quality,size,value,emerging_equity_share,fixed_income_balanced_share,min_vol_share,momentum_share,quality_share,size_share,value_share,v_01,v_02,v_03,v_04,v_05,v_06,v_07,v_08,v_09,value_function,absolute_return,cumulative_return
2017-01-25,38.25,99.43,45.87,78.72,70.62,73.65,72.01,0.2682185,0.17711526,0.09459902,0.27290395,0.063646495,0.062301822,0.061215017,-23.18855,-5.8504963,-1.6664269,0.69538593,2.6701334,4.814555,7.7344823,12.67778,28.584255,2.6701334,-0.09267246,6.2993736
2017-01-26,38.25,99.3619,45.8,78.61,70.45,73.58,71.82,0.27008155,0.17284128,0.09364692,0.27475098,0.064377524,0.062757544,0.06154425,-23.579782,-5.7585382,-1.602519,0.82690233,2.8075697,4.9813113,7.897355,12.862248,28.380444,2.8075697,0.016546857,6.3159204
2017-01-27,38.25,99.53,45.82,78.73,70.35,73.33,71.51,0.26491395,0.15682258,0.09363099,0.29186553,0.06591745,0.06424036,0.06260923,-21.94675,-5.087844,-1.1085055,1.1586089,3.056567,5.1619835,7.9438243,12.721419,27.638453,3.056567,-0.41805708,5.8978634
2017-01-30,38.0,99.61,45.68,78.25,70.04,73.04,71.06,0.28768253,0.17879806,0.09096784,0.26073176,0.062778875,0.059937414,0.05910357,-24.705938,-5.4634943,-0.6811848,1.8714216,3.831241,6.117867,9.153183,14.349113,31.316895,3.831241,0.08656672,5.9844303
2017-01-31,38.11,99.66,45.79,78.25,69.9,72.95,71.08,0.31007978,0.14985336,0.07760245,0.28491172,0.06207447,0.05824693,0.0572312,-24.772552,-5.483185,-0.65750957,1.8568985,3.745829,5.9984436,8.922161,14.067858,30.783165,3.745829,-0.04901692,5.9354134
2017-02-01,38.11,99.19,45.48,78.43,69.8,72.61,71.57,0.3054899,0.17380688,0.086560935,0.25404295,0.06304163,0.059038665,0.058019,-23.780188,-4.747053,0.047606647,2.4649096,4.236398,6.404031,9.126279,14.083068,30.27828,4.236398,0.35533997,6.2907534
2017-02-02,38.41,99.44,45.75,78.57,69.82,72.87,71.44,0.28882515,0.17790784,0.092545584,0.25669974,0.064658105,0.060141098,0.05922249,-24.173641,-5.467495,-0.7150524,1.7937441,3.6144753,5.6903377,8.269943,12.914703,28.600882,3.6144753,0.56418246,6.8549356
2017-02-03,38.82,99.4,45.99,78.89,70.33,73.59,72.18,0.28379765,0.16228761,0.0922736,0.27500308,0.06507755,0.061510094,0.06005042,-22.706438,-5.0411873,-0.57282466,1.7051572,3.4352515,5.3645444,7.744409,12.202303,27.058172,3.4352515,0.17311332,7.028049
2017-02-06,39.17,99.4,45.86,78.85,70.25,73.426,72.12,0.28817275,0.1371484,0.086378165,0.30251867,0.066081345,0.06061975,0.059080802,-22.210682,-4.517141,-0.062235713,2.1856208,3.817655,5.6488514,8.028192,12.518235,27.459034,3.817655,-0.052819178,6.9752297
2017-02-07,38.88,99.7199,45.98,79.09,70.36,73.42,71.96,0.26944372,0.12727574,0.09373999,0.31218997,0.07067483,0.06465204,0.06202374,-21.09302,-3.9337547,0.34793848,2.511224,4.0872903,5.942833,8.225731,12.452806,26.710106,4.0872903,0.28927326,7.264503
2017-02-08,39.1699,99.7605,46.14,79.29,70.33,73.5603,71.84,0.25003225,0.10229839,0.09754401,0.34490025,0.07461404,0.067628935,0.0629822,-21.957672,-4.494369,-0.13405773,2.105729,3.6684432,5.5220356,7.7374206,11.87569,26.142748,3.6684432,0.33698252,7.6014857
2017-02-09,39.4,99.66,46.34,79.44,70.68,74.0335,72.33,0.08694286,0.09187676,0.2167694,0.329746,0.092154644,0.107786305,0.07472398,-28.271326,-8.673574,-3.7318382,-1.0281353,1.0756347,3.5435603,6.5162716,11.027499,28.86519,1.0756347,0.34250486,7.9439907
